Hate Speech,Target,Category,Counterspeech
Migrants are a drain on the society.,MIGRANTS,Question,How can you say that about a group that has been around for thousands of years?
Migrants put a strain on public services.,MIGRANTS,Facts,"Migrants are not the problem, they are just a source of frustration and frustration."
"Women are subhuman, they are weak and childlike, they cannot be trusted with important decisions.",WOMEN,Positive,"Women are human beings, and deserve respect."
We should return to the times when it was ok to kill a retarded just because of its stupidity.,DISABLED,Humor,I don't think you understand the concept of empathy.
I would like to ask all these people supporting the idea that the NHS couldn't survive without migration how did it do it before mass migration and Tony Blair's migration policies in the 1990s.,MIGRANTS,Question,What do you mean by 'Mass migration and Tony Blair's migration'?
"If Islam were peaceful, then there would be no persecution of Christians.",MUSLIMS,Question,How can you say that about a religion?
"I'm not calling for bullying or body-shaming fat people, just for some societal disapproval.",OTHER,Humor,"You are not calling for bullying or body shaming, just for some reason."
Immigrants are coming to the U.S. to have babies here.,MIGRANTS,Facts,Immigrants are not 'bringing babies' to the U.S. They are just here to work.
Women are not worth being on the same bus as a men.,WOMEN,Facts,"Women are worth being on the same bus with, and this is why they are valued for their contribution to society."
Islam is a totalitarian ideology.,MUSLIMS,Question,How can you say that about a religion?
"All versions of Islam have sharia law, thus, they are all extreme. Not all Muslims are engaged in actual violences, but every Muslim knows that jihad is the core of their religion, and they all support it.",MUSLIMS,Positive,The vast majority of Muslims are peaceful and respectful people.
Black folks are natural-born thieves.,POC,Denouncing,This is not true. There are many black people in the world who have been around for many years and have been part of our society for many years.
"black folks should be assaulted or harmed, that's the ""eye for an eye"" they deserve.",POC,Positive,We should not be so harsh on people of color. They are human beings and deserve respect.
"The world would be a better place without immigrants, we would be a lot better off without them.",MIGRANTS,Question,Why do you think that the world would be a better place without immigrants?
Women desperately looking for men are just unacceptable.,WOMEN,Humor,"I don't know about you, but I would love to have a woman like you around my neck."
We cannot have an army of millions of Muslims on our borders and then turn a blind eye to their sickness and terrorism.,MUSLIMS,Humor,"You are right, we cannot have a civilised society without millions of Muslims on our borders."
Lesbians are basically child molesters.,LGBT+,Denouncing,I don't think it is possible to be homophobic and homophobic in the same way.
"I think I heard on the news yesterday that trans women are a problem in the US. Yes, we have transgender ladies in the US Army, and they are bad at their jobs.",LGBT+,Facts,"The problem is not with transgender people, but with the stigma that is associated with them."
We should return to the times when it was ok to kill a retarded just because of its stupidity.,DISABLED,Facts,"The times are different now, we are not in a time where we can judge people for their beliefs."
Gay men are worthless. I want to live in a society of worthy people.,LGBT+,Positive,"I don't know many gay people, but I don't think they are all bad. They are just different from us in many ways."
Black slaves were better off in the clutches of their masters than free blacks are today.,POC,Question,How can you say that about a group that has always been around for thousands of years?
I am not a faggot. I am not homophobic. I am not anti gay. But I am sick tired of gays willing to be part of a minority club just to be able to flaunt their lives.,LGBT+,Facts,I don't think you can call someone a faggot for being gay.
Disabled people should not be allowed to live their lives. We can start by limiting them their rights.,DISABLED,Question,What rights do you have to give to disabled people?
All Chinese are bad for the English language because they do not want to learn it.,OTHER,Question,Why do you think that they are bad for the English language?
Women are subhuman and should not be valued.,WOMEN,Facts,"Women are human beings, and they have the right to choose their own partners."
Gays are a bunch of perverts who should be isolated and restricted to their own communities. They are a threat to us.,LGBT+,Question,Why do you think that they are a threat to us?
Islam is a totalitarian ideology that should be banned.,MUSLIMS,Positive,Islam is a religion of peace. It is not a totalitarian ideology.
Islam is a religion of war.,MUSLIMS,Facts,The Quran is a book of peace. It is not a religion of war.
"This is not normal: this child is different, he has autism. We are doing too much to care for him.",DISABLED,Facts,"Children with Down Syndrome are often bullied and abused, and this is why they are often bullied and abused by adults."
We are forced to economically support all of the 'asylum seekers',MIGRANTS,Positive,"We should not be forced to accept that people are different from us, and that we should welcome them with open arms."
Gays are sick. They should be isolated.,LGBT+,Denouncing,I don't think it is appropriate to label someone on the basis of their sexual orientation.
Jews are a disease like COVID that is killing Europeans.,JEWS,Denouncing,I don't think you can say that about any religion.
I'm tired of woman taking part in political debate. Feminism is a divisive force in society.,WOMEN,Question,Why do you think that it is a divisive force in society?
