Hate Speech,Target,Category,Counterspeech
Migrants are a drain on the society.,MIGRANTS,Question, Why do you think that migrants are a drain on society?
Migrants put a strain on public services.,MIGRANTS,Facts, It is not true that migrants put a strain on public services. They are just people who have been accepted to live and work in the country they choose.
"Women are subhuman, they are weak and childlike, they cannot be trusted with important decisions.",WOMEN,Positive, You should not be so harsh on women. They are human beings with full human rights.
We should return to the times when it was ok to kill a retarded just because of its stupidity.,DISABLED,Humor, I don't think you can be serious.
I would like to ask all these people supporting the idea that the NHS couldn't survive without migration how did it do it before mass migration and Tony Blair's migration policies in the 1990s.,MIGRANTS,Question, How did it do it before mass migration?
"If Islam were peaceful, then there would be no persecution of Christians.",MUSLIMS,Question, Can you point out where you got the idea that all Muslims are violent?
"I'm not calling for bullying or body-shaming fat people, just for some societal disapproval.",OTHER,Humor, I don't think you have the right to call someone fat.
Immigrants are coming to the U.S. to have babies here.,MIGRANTS,Facts," The U.S. has a lot of immigrants, and they all have the right to be here."
Women are not worth being on the same bus as a men.,WOMEN,Facts, It is not true that women are not worth being on the same bus as men.
Islam is a totalitarian ideology.,MUSLIMS,Question, Can you point out where you got the idea that Islam is a totalitarian ideology?
"All versions of Islam have sharia law, thus, they are all extreme. Not all Muslims are engaged in actual violences, but every Muslim knows that jihad is the core of their religion, and they all support it.",MUSLIMS,Positive,
Black folks are natural-born thieves.,POC,Denouncing, You are wrong to say that. The majority of black people are good citizens.
"black folks should be assaulted or harmed, that's the ""eye for an eye"" they deserve.",POC,Positive," We should be careful of what we say, because it can backfire and cause more harm than good."
"The world would be a better place without immigrants, we would be a lot better off without them.",MIGRANTS,Question, Why do you think that the world would be a better place without immigrants?
Women desperately looking for men are just unacceptable.,WOMEN,Humor," I am sure you are a great woman, but you are not a woman."
We cannot have an army of millions of Muslims on our borders and then turn a blind eye to their sickness and terrorism.,MUSLIMS,Humor, I think you are confused. You are talking about a'migrant crisis' and'migrant crisis' are two different things.
